"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"212",3,1,2,80,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"213",2,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"214",2,0,4,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"215",2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"216",5,0,4,45,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"217",2,0,3,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"218",4,0,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE
"219",2,0,1,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"220",2,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"221",2,2,4,46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"222",3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"223",3,1,4,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,FALSE,FALSE
"224",4,13,16,107,6,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,FALSE,TRUE
"225",7,2,1,12,10,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,FALSE,TRUE
"226",1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE
"227",1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"228",1,0,1,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,FALSE,TRUE
