"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"1691",2,1,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,FALSE,FALSE
"1692",6,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE
"1693",1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1694",2,0,1,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE
"1695",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE
"1696",1,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1697",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE
"1698",1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE
"1699",1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE
"1700",1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE
"1701",2,0,0,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE
"1702",3,0,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE
"1703",2,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"1704",2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,FALSE,TRUE
"1705",4,1,8,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,FALSE,TRUE
"1706",2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1707",3,31,45,49,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,FALSE,TRUE
"1708",6,6,5,34,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,FALSE,TRUE
"1709",2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,FALSE,TRUE
"1710",2,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE
"1711",3,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE
"1712",4,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,TRUE
"1713",3,1,0,11,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE
"1714",5,9,5,6,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,FALSE,TRUE
"1715",5,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,FALSE,TRUE
"1716",2,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,FALSE,TRUE
"1717",7,3,4,16,9,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,FALSE,TRUE
"1718",1,0,1,10,4,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,FALSE,TRUE
"1719",7,1,3,0,7,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,FALSE,TRUE
"1720",3,1,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"1721",4,0,2,2,4,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,TRUE,FALSE
"1722",6,0,19,23,6,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,TRUE,TRUE
"1723",4,0,0,16,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"1724",2,0,1,0,5,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,TRUE,FALSE
"1725",2,0,2,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,TRUE,TRUE
"1726",7,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,TRUE,FALSE
"1727",4,0,0,9,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TRUE,FALSE
"1728",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE,FALSE
"1729",1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRUE,FALSE
"1730",1,0,1,12,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,TRUE,TRUE
"1731",3,1,1,4,3,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"1732",2,0,0,2,5,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1733",3,0,1,13,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,FALSE,TRUE
"1734",7,0,2,6,5,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,FALSE,TRUE
"1735",1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,FALSE,TRUE
"1736",1,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,FALSE,TRUE
"1737",1,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,FALSE,TRUE
"1738",1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,FALSE,FALSE
